user_id,first_name,last_name,gender,date_of_birth,phone_number,infected,date_diagnosis
42,Lionel,Davison,male,1957-08-16,+1-777-583-3772x235,no,
43,Dale,Bennett,male,1956-03-13,+1-030-389-0486x586,no,
44,Christopher,Quinn,male,1942-10-27,+1-116-648-3842x16692,no,
45,Clyde,Gorman,male,1969-05-08,533-201-6193,no,
46,Donald,Wood,male,2012-01-17,001-259-931-9757x889,no,
47,Craig,Grubbs,male,1970-12-12,(407)274-3919,no,
48,Dannie,Hammond,male,1955-03-25,001-894-549-4220,no,
49,Steven,Robinson,male,2014-09-24,+1-346-826-5871,no,
50,Walter,Mcbride,male,1966-11-20,+1-605-630-3364x5641,no,
51,James,Williams,male,1994-03-24,(022)299-0538,no,
52,James,Small,male,2012-03-25,(635)603-3223x984,no,
53,Ronald,Oleary,male,1996-06-07,(687)792-9189,no,
54,Jerome,James,male,1983-01-18,(340)065-9127x298,no,
55,Scott,Haynes,male,2017-11-03,001-623-600-7968x424,no,
56,Jorge,Mcgowan,male,2003-11-04,+1-445-217-1235x944,no,
57,Michael,Bowman,male,1978-08-28,0534224851,no,
58,Harold,Spear,male,1990-02-03,001-166-100-5295x0034,no,
59,Sam,Cantu,male,1976-05-15,308.079.4174,no,
60,Michael,Cruz,male,1944-06-22,(459)677-7421x5439,no,
61,Kenneth,Caldwell,male,1978-04-04,(211)309-3349x202,no,
62,Johnny,Terry,male,1999-02-10,+1-386-707-0558x32578,yes,2020-08-03
63,Antonio,Sanchez,male,1956-09-07,608-029-8742x6028,no,
64,Patrick,Crespin,male,1943-02-08,+1-501-966-8281x4308,no,
65,John,Macdonald,male,2002-04-05,001-067-535-9948x437,no,
66,Leslie,Pons,male,2018-06-01,+1-649-315-9754x482,no,
67,Ben,Glover,male,1940-02-15,194.232.4833x43940,no,
68,Brian,Judson,male,1962-05-12,523.986.8113,no,
69,Scott,Minter,male,1956-08-23,(252)764-6193,no,
70,Robert,Young,male,1982-06-23,559.101.9522x63364,yes,2020-08-14
71,William,Lyday,male,1958-01-03,001-478-535-9954x66652,no,
72,William,Condon,male,2001-11-14,253.816.0160x492,no,
73,Darryl,Jeffery,male,1974-03-31,(341)955-3272x985,no,
74,Don,Hart,male,1979-04-13,500.175.9192x973,no,
75,Matthew,Washington,male,1994-03-30,3741334045,no,
76,Donald,Pratt,male,1998-11-08,5024617497,no,
77,Robin,Butler,male,1950-04-02,943-198-0117x14691,no,
78,Timothy,Peoples,male,1983-06-03,480.520.2380x780,no,
79,Winston,Carrier,male,2016-05-22,790-028-2462x0579,no,
80,David,Thull,male,1962-09-15,001-257-092-1134x8338,no,
81,James,Holloway,male,2005-07-11,(084)086-9712x837,no,
82,Charles,Smith,male,2001-08-05,(634)107-9925x975,no,
83,Wayne,Soo,male,1983-06-15,565.055.0363,no,
84,Robert,Savage,male,1976-10-21,036-799-7860x987,no,
85,Shane,Lewis,male,1992-07-20,855.825.8736,yes,2020-08-16
86,Richard,Clifton,male,2004-03-23,+1-486-444-0883,no,
87,Peter,Keatts,male,1940-12-01,663-159-8689x42514,no,
88,Allen,York,male,1996-11-10,573.845.5488,yes,2020-08-24
89,Christopher,Spears,male,1997-04-27,653.274.0421,no,
90,Edmund,Maciver,male,1987-02-12,900-354-1634x0266,no,
91,Nigel,Cooper,male,1988-05-07,616-139-7000x71729,no,
92,Robert,Frye,male,1952-04-30,034.917.1825x789,no,
93,William,Gentry,male,1975-01-21,311-689-3399,no,
94,Jeffrey,Miller,male,1953-01-03,(530)812-2335x23160,no,
95,Robert,Lyle,male,1981-03-25,+1-266-554-2129x243,no,
96,Edward,Treece,male,1991-07-16,345-844-9587x30133,no,
97,Francis,Melendez,male,1970-12-01,(162)955-7483,no,
98,Joseph,Crafton,male,1946-08-12,4919877298,no,
99,Denis,Buban,male,1988-10-12,001-958-799-2946,no,
100,Kevin,Mejia,male,1952-09-11,(764)891-5090x363,no,
101,Thomas,Douglas,male,2002-04-29,104.938.4260x04204,no,
102,George,Mcgriff,male,2011-04-27,938.030.2130x735,no,
103,Brian,Miller,male,2014-09-16,991.518.0992x59279,no,
104,Christopher,Koon,male,1978-05-09,001-332-308-9087x340,no,
105,Grant,Buck,male,1953-10-02,+1-580-086-4903,no,
106,David,Kidd,male,2009-05-30,001-063-182-3991x480,no,
107,Christopher,Fitzpatrick,male,2009-05-17,478.310.8917x0845,no,
108,Robert,Black,male,1989-10-11,(729)007-5267x6680,no,
109,Paul,Clark,male,2006-02-24,(165)879-4105,no,
110,Gregory,Davis,male,2002-06-15,647-378-2635,no,
111,Ramon,Burk,male,2016-11-05,646.888.1080x573,no,
112,Gary,Mattie,male,1967-02-12,039-860-1617,no,
113,James,Mateo,male,1950-11-02,815.602.5428,no,
114,Kenneth,Rogers,male,1943-02-13,307.938.3333,no,
115,Joel,Wright,male,1959-11-06,503-403-8540x761,no,
116,Charlie,Crosby,male,1986-11-16,196-547-0324x843,no,
117,Ted,Wright,male,2004-09-26,001-065-769-7371x611,no,
118,Peter,Davis,male,1948-09-04,2735748084,no,
119,Michael,Bernard,male,1980-09-08,001-842-417-8835x433,no,
120,Patrick,Elliam,male,1976-12-14,448.118.2286x4088,no,
121,Geoffrey,Cuffe,male,1963-08-31,(777)960-9885,no,
122,David,Goins,male,1948-09-28,+1-310-038-5966x00511,no,
123,Steven,Ripley,male,1954-07-29,+1-163-501-7077x17341,yes,2020-08-30
124,Richard,Hunter,male,1980-09-26,3977886649,no,
125,Joseph,Moore,male,1985-12-30,6108488157,no,
126,Edward,Jackson,male,1950-07-17,024.028.6083x8876,no,
127,Patrick,Durand,male,2013-07-02,(087)288-6149x22005,no,
128,Stewart,Conway,male,1954-06-23,947.438.8877x15174,no,
129,Joseph,Bolebruch,male,1951-12-22,598-075-3470x17515,no,
130,Patrick,Arimoto,male,1956-06-09,+1-312-354-8284x335,no,
131,Phillip,Loyd,male,1972-12-11,001-000-727-4023,no,
132,Russell,Scott,male,2013-12-31,+1-393-581-4156x0079,no,
133,Frank,Pearson,male,1950-02-16,448-456-3635x87995,no,
134,Kenneth,Claassen,male,1958-07-26,2109766302,no,
135,Paul,Lopez,male,1965-06-15,7401328574,no,
136,Robert,Merritt,male,1994-03-20,967-337-5598x204,no,
137,Leonard,Matley,male,2003-09-12,511.891.9378,yes,2020-08-07
138,Jeffrey,Baldwin,male,2018-09-03,001-127-147-9189x82028,no,
139,Raymond,Bernstein,male,1997-07-31,(465)490-4965,no,
140,Jason,Smith,male,2003-03-03,117-474-7395x44554,no,
141,Anthony,Gray,male,1968-10-05,457-620-1221,no,
142,John,Taylor,male,1981-11-02,625.751.2284x940,no,
143,Neal,Gilbert,male,1992-10-26,923-516-8728x4080,no,
144,James,Hopkins,male,1954-01-27,404.331.7662x8700,no,
145,Johnny,Smith,male,2013-05-16,001-233-047-9301x7263,no,
146,Jack,Anderson,male,2009-08-04,(788)109-2924,no,
147,Sal,Warren,male,2002-08-12,001-104-431-1150x6353,no,
148,Todd,Nash,male,1972-05-30,+1-862-383-2620x33014,no,
149,Larry,Miske,male,1997-01-31,(901)233-3506,no,
150,Robbie,Briones,male,1940-12-17,001-362-579-9639x717,no,
151,Terry,Rowe,male,1963-10-14,(840)406-6558x14874,no,
152,William,Soto,male,1949-08-23,617.574.2972,no,
153,Thomas,Bardon,male,1947-11-27,(716)274-8715,no,
154,John,Johns,male,1958-10-06,991-716-6210x642,no,
155,Stewart,Demarco,male,1991-11-04,702-028-5377x7913,no,
156,Scott,Mckinney,male,1969-09-02,018-138-3002x506,no,
157,Fred,Mares,male,1979-06-28,(194)903-7261,no,
158,Solomon,Harding,male,1955-07-14,001-715-272-0585,no,
159,Gerald,Edson,male,1972-01-31,(542)496-0765x7085,no,
160,Frank,Sorrells,male,1980-08-10,(883)740-1007,no,
161,John,Foster,male,1956-10-14,001-493-664-6341,no,
162,Harvey,Arocho,male,1957-06-25,(248)804-0620x959,no,
163,Robert,Serrano,male,1977-02-14,533-530-2819x669,no,
164,Curtis,Everett,male,1976-11-23,6002137836,no,
165,Brian,Griffis,male,1956-09-08,(742)118-4531x95077,no,
166,Jim,Klein,male,1947-08-25,001-940-639-6839,no,
167,Clyde,Delagarza,male,1997-02-19,+1-254-985-1678,no,
168,John,Richards,male,1964-04-13,+1-613-195-8003x5669,no,
169,Jack,Chancey,male,1996-07-03,6172178127,no,
170,Henry,Sharp,male,2019-12-23,(502)763-4906,no,
171,Douglas,Smith,male,1942-04-02,(298)606-0966x10520,no,
172,Edward,Chary,male,1958-05-25,(790)858-0018,no,
173,Mervin,Rathbun,male,2016-05-01,001-952-731-7506,no,
174,Ernest,Aber,male,1987-12-12,(938)611-3350x890,no,
175,Robert,Summers,male,1994-08-23,+1-949-613-9266x676,no,
176,Floyd,Alaniz,male,2018-04-14,+1-120-010-3980x8993,no,
177,John,Gautreaux,male,1942-11-08,(162)716-7755x224,no,
178,Jose,Mclaughlin,male,1990-01-03,794.970.2539x252,no,
179,Ronnie,Vento,male,1965-03-25,084.076.0045,no,
180,Steve,Haveman,male,1982-09-08,+1-103-530-4126x019,no,
181,Charles,Ford,male,1945-12-11,001-921-549-5389x42331,no,
182,Michael,Ewing,male,2002-08-30,717-735-9086x037,no,
183,Walter,Parker,male,1978-04-21,001-253-775-6334x56642,no,
184,Troy,Ross,male,1967-07-14,778-856-7443,no,
185,Boyd,Loy,male,1958-04-27,437-234-0731,no,
186,John,Montgomery,male,1990-02-28,023-782-2730,no,
187,John,Salgado,male,2010-11-08,3916686501,no,
188,Christopher,Carr,male,2014-09-25,001-714-285-3725x53709,no,
189,Leon,Sabir,male,1968-12-14,481-837-6063,no,
190,Richard,Gorn,male,1968-01-28,229-299-0669x34252,no,
191,Scott,Patterson,male,1964-03-29,001-313-735-3427x17266,no,
192,John,Grady,male,1976-03-28,9285052472,no,
193,Gene,Berry,male,1944-07-05,(768)892-4322,no,
194,Albert,Saults,male,2017-11-13,001-717-283-5880x55154,no,
195,Robert,Mcclellan,male,1961-08-23,7793752483,no,
196,Von,Pontes,male,1990-10-14,(704)088-7186x4709,no,
197,Sam,Tong,male,2019-03-31,001-076-260-9789x990,no,
198,Vincent,Vang,male,1955-10-16,404-639-3390,no,
199,David,Gonzalez,male,2019-08-06,923.702.0247x82100,no,
200,Michael,Brown,male,2010-03-27,001-547-905-6791x153,no,
201,Norman,Kelly,male,2003-03-15,641-958-1456,no,
202,Ronald,Catron,male,1957-09-06,+1-521-203-0927x052,no,
203,William,Jones,male,1992-08-04,9936044421,yes,2020-08-23
204,Deon,Lane,male,1955-08-12,933-767-8293,no,
205,Jerry,Heritage,male,1961-07-08,+1-917-669-6637x116,yes,2020-08-01
206,William,Dehaven,male,1983-08-07,1280376495,no,
207,Mark,Williams,male,2016-10-23,779-950-7452x8520,no,
208,Charles,Chavez,male,1976-05-05,013-273-1327x56434,no,
209,Charles,Holt,male,1949-05-15,001-424-391-5973x583,no,
210,Allen,Williams,male,1955-01-04,+1-053-815-7950x5072,no,
211,Joel,Leiby,male,1979-11-17,(439)588-5357,no,
212,David,Gould,male,1960-01-21,+1-665-779-0332x504,no,
213,Billy,Dickens,male,1993-08-03,001-533-356-5835,no,
214,Frederick,Mccarty,male,2017-02-03,467.239.4176x1651,no,
215,Jason,Castlen,male,1989-11-14,0446936769,no,
216,William,Buckley,male,1950-01-13,303.619.5170x657,no,
217,Domingo,Bunn,male,1993-09-07,+1-591-876-3873,no,
218,Martin,Sawyer,male,1966-04-27,470.589.5516x17007,no,
219,Scott,Kelsey,male,1942-02-01,(429)373-5809x31279,no,
220,James,Yamamoto,male,1983-05-10,887.413.6553x698,no,
221,Anthony,Collins,male,1966-03-14,662-976-5196x130,no,
222,Pedro,Manley,male,1962-10-05,806-022-3468x42192,no,
223,John,Powell,male,1996-04-13,3307608015,no,
224,Luis,Watlington,male,1958-06-10,675.415.1529,no,
225,Gilbert,Underhill,male,1940-04-12,499-923-2833,no,
226,William,Penny,male,1955-12-11,070-935-1869,no,
227,Michael,Admire,male,1967-08-08,+1-431-416-7369,no,
228,Earl,Millwood,male,2009-01-05,086-145-4473,no,
229,Robert,Taylor,male,1950-08-18,+1-951-890-1356x2690,no,
230,David,Lefebvre,male,1950-01-02,(201)942-4867,no,
231,Jose,Vanzant,male,1993-07-26,001-062-938-6594x37494,no,
232,Donald,Skeete,male,1950-05-31,504.862.3168,no,
233,Edward,Cannon,male,1957-12-30,001-857-690-8497,no,
234,Travis,Beach,male,1949-10-06,6273674576,no,
235,Mervin,Smith,male,1966-01-02,(473)894-6658x66659,no,
236,Brandon,Graves,male,1996-06-29,724-922-1175x337,no,
237,Rudolph,Velazquez,male,1994-07-09,(470)815-8715,no,
238,Richard,Younts,male,1987-01-28,743-125-6394x497,no,
239,Paul,Whitenack,male,1985-07-19,+1-737-147-0882,no,
240,Michael,Billings,male,1978-03-09,001-939-294-7802x80257,no,
241,Barry,Mendias,male,2015-04-14,104.503.6939,yes,2020-08-16
242,Ernest,Ingram,male,1942-12-08,6785479900,no,
243,Charles,Strout,male,1944-01-19,003-595-4409x76066,no,
244,Joseph,Olney,male,2006-06-17,001-367-301-7203x92180,no,
245,Donald,Hess,male,1973-05-06,9493618735,no,
246,Christopher,Fernandes,male,1993-10-14,7260430264,no,
247,Andrew,Hagedorn,male,1975-05-29,9449934402,no,
248,Ellis,Hardy,male,2019-07-19,958-037-2989,no,
249,William,Fields,male,1976-08-30,+1-431-681-3347x4050,no,
250,Alfredo,Madril,male,1940-02-18,4579232479,yes,2020-08-07
251,Daniel,Devine,male,1989-02-12,478-102-5060,no,
252,Michael,Miller,male,2014-02-15,+1-764-414-2068x5756,no,
253,Eric,King,male,1968-05-16,001-113-836-0724x13991,no,
254,Erik,Ferris,male,1965-09-23,001-811-763-3610x258,no,
255,John,Villegas,male,1999-06-07,001-986-019-3441x12988,no,
256,Lyle,York,male,2011-04-25,396-223-2623x08852,no,
257,Joe,Lee,male,1972-10-28,+1-102-730-5865x63792,no,
258,Clarence,Garvey,male,2012-07-21,(921)000-8169x5138,yes,2020-08-02
259,David,Flowers,male,1968-11-20,001-481-026-9611x40417,no,
260,Timothy,Adams,male,1987-11-30,423.804.3701,no,
261,Michael,Wille,male,1995-09-30,600.817.3798x96615,no,
262,James,Brooks,male,2013-02-17,(472)112-8266x852,no,
263,Dennis,Lovett,male,1983-01-01,375.141.2195x7086,no,
264,Raul,Conner,male,1982-04-24,001-364-706-6399x521,no,
265,Joseph,Gonzales,male,1974-02-08,+1-129-923-5331x43294,no,
266,Noe,Howard,male,1979-01-01,+1-800-815-5393x5929,no,
267,Dale,Gagnon,male,1946-11-23,023-837-9595x2389,no,
268,Michael,Thornhill,male,1945-03-11,(600)313-5300x2285,no,
269,Jay,Torres,male,1947-06-03,258-219-6372x183,no,
270,Timothy,Edwards,male,1985-10-03,577-165-8884x7224,no,
271,Charles,Cline,male,1958-01-16,719-686-5792,no,
272,Darryl,Adleman,male,1942-10-03,(207)038-6814x6661,no,
273,Roberto,Evangelista,male,1955-10-17,386-704-3085,no,
274,Juan,Lang,male,1990-08-05,(457)880-9959x5070,no,
275,Mario,Robbin,male,1985-07-20,(900)492-0223x6464,no,
276,Marvin,Keaton,male,2015-07-19,001-946-134-2225x86084,no,
277,Alejandro,Ritchie,male,1991-05-05,781.851.9030,no,
278,Edwin,Rankin,male,1946-07-09,001-668-099-4056x19440,no,
279,Allen,Rueluas,male,2003-06-12,529.023.1342x6286,no,
280,Matthew,Lindholm,male,1978-09-12,+1-476-157-3492x7599,no,
281,William,White,male,1952-01-24,(743)221-3573,no,
282,Darryl,Rubin,male,2001-02-20,001-014-775-4517x59216,no,
283,Manuel,Kester,male,1971-12-29,001-492-281-5603,no,
284,Jerald,Gagliardi,male,1999-05-13,(333)545-9254x476,no,
285,Joseph,Morlan,male,1983-12-07,3805228295,no,
286,Shaun,Wicks,male,2002-08-27,327.153.5586,no,
287,Felipe,Allen,male,2009-04-13,938.839.1161,no,
288,Ryan,Stackhouse,male,1951-08-17,124.103.8246,no,
289,Patrick,Eakes,male,2006-11-19,795.878.5535,no,
290,Jose,Lui,male,1965-11-28,+1-611-498-6484,no,
291,George,Broyles,male,1994-09-01,171-954-4098,no,
292,Matthew,Treadway,male,1963-11-22,913.614.2304,no,
293,William,Tygart,male,1958-04-25,+1-759-490-9590x9191,no,
294,Thad,Davis,male,1980-05-22,9265014855,no,
295,Joel,Auckerman,male,2016-06-01,570.040.0888x48692,no,
296,Charles,Nava,male,1973-10-25,9575437612,no,
297,Clarence,Campbell,male,1997-10-14,6417770646,no,
298,Leroy,Gaskin,male,1954-06-22,9283889039,yes,2020-08-15
299,Mario,Morris,male,1995-12-30,001-499-871-2716x4623,yes,2020-08-14
300,Malcolm,Rose,male,1958-10-10,636.614.4267,no,
301,Lance,Bailey,male,1967-09-20,672-831-3800,no,
302,Joseph,Villegas,male,1968-05-15,001-403-377-7496x4435,no,
303,Richard,Lank,male,2011-05-13,+1-877-734-8274,no,
304,John,Ferris,male,1941-07-06,862-618-1427x323,no,
305,Rigoberto,Misner,male,1948-07-19,+1-010-433-7992x303,no,
306,Andrew,Glover,male,1946-12-28,001-381-613-1125x53758,no,
307,Robert,Mcdowell,male,2008-04-25,791-749-5164,no,
308,Edward,Smith,male,1962-10-05,001-991-238-1768,no,
309,Roger,Umland,male,1941-09-27,696-038-4890x0765,no,
310,Brandon,Fincher,male,2003-03-19,1764872284,no,
311,John,Tomlin,male,1949-05-14,+1-349-138-0547x1247,no,
312,Willie,Schreiner,male,1975-08-06,005-047-2099x9680,no,
313,Robert,Flores,male,2018-03-31,(870)672-0951,no,
314,Jose,Wade,male,2016-06-02,+1-962-178-7810x89212,no,
315,Arthur,Hill,male,1998-10-03,938.079.8733x671,no,
316,Martin,Holland,male,1956-03-15,+1-097-148-4859,no,
317,Thomas,Brooks,male,1948-11-20,117.046.9705,no,
318,Donald,Ortiz,male,1950-07-01,619-263-1864,no,
319,Thomas,Horne,male,1950-09-09,(508)013-6671x753,no,
320,William,Smith,male,1960-04-22,001-600-138-3126x6389,no,
321,Benjamin,Payton,male,1999-06-18,378.881.6854x4736,no,
322,Ricky,Orona,male,1940-06-16,(839)741-5680x51570,no,
323,Raymond,Crawford,male,2011-12-09,024.911.1980,no,
324,Mack,Northcutt,male,1974-05-14,001-868-868-2487,no,
325,Victor,Redd,male,1993-06-18,147-198-6316,no,
326,Ralph,Rama,male,1995-04-18,+1-321-668-7881,yes,2020-08-10
327,Thomas,Leflore,male,1971-05-21,001-835-502-4868x7613,no,
328,Michael,Gay,male,1972-04-01,+1-429-746-8446x2138,no,
329,Shane,Tylor,male,1990-08-01,365-151-4294x100,no,
330,Salvador,Moreau,male,1992-01-15,639-242-0388,no,
331,Louie,Wheaton,male,2016-10-07,883.039.6632,no,
332,Henry,Hamilton,male,1979-02-15,(791)272-1064x3473,no,
333,Richard,Anchors,male,1999-02-15,001-408-979-8057x494,no,
334,John,Wright,male,1941-05-01,957-165-4802x17081,no,
335,Timothy,Williamson,male,1949-07-24,508-060-2397x0678,no,
336,Tony,Painter,male,1993-06-04,154-578-8799x556,no,
337,Robert,Mccardle,male,1981-02-13,(987)559-7467x918,yes,2020-08-17
338,Cecil,Snowden,male,2001-10-21,(052)284-3143x40969,no,
339,Robert,Pollard,male,1955-03-23,+1-714-381-1204x706,no,
340,Benjamin,Johnson,male,1946-03-09,(304)187-8569x210,no,
341,Refugio,Scates,male,1943-11-02,+1-408-526-7949,no,
342,John,Cone,male,1980-09-15,9117941842,no,
343,Carlos,Thomas,male,1944-02-25,541.188.5590,no,
344,Carl,Hillman,male,1986-04-07,(528)738-6507,no,
345,Terence,Williams,male,1976-04-26,+1-161-127-4615x554,no,
346,Michael,Abney,male,2010-11-20,+1-430-132-3916,no,
347,John,Edmonds,male,1967-04-04,1150692308,no,
348,Everette,Modrak,male,1954-09-07,002.039.7026,no,
349,Alvin,Woodworth,male,1961-01-29,001-092-469-7090x760,no,
350,Donald,Hall,male,2004-04-19,089.507.0124x606,no,
351,Ricardo,Gabrielson,male,1967-04-23,141-892-3335x846,no,
352,Joseph,Schumpert,male,2018-01-06,570-222-4589x98382,no,
353,Michael,Johnson,male,2016-04-27,651-552-5566x418,no,
354,Lucio,Stewart,male,1976-08-24,001-720-323-5698x87315,no,
355,Shane,Whipple,male,1979-01-03,812.527.6877x0316,no,
356,Jeffrey,Dyer,male,1948-03-20,001-429-207-9301x68325,no,
357,Benjamin,Young,male,2003-03-15,(367)418-3174,no,
358,Joseph,Guinn,male,1971-03-04,554.802.3413x0262,no,
359,Martin,Morales,male,1978-03-29,+1-969-940-0508x6970,no,
360,Christopher,Jones,male,1982-10-08,001-682-352-5901x6997,no,
361,Chad,Ward,male,1989-10-06,7308595067,no,
362,Jason,Jackson,male,1943-05-27,001-631-261-8180x25864,no,
363,Jose,Weathersby,male,1975-01-29,001-604-052-5786,no,
364,Thomas,Rodriguez,male,1987-02-11,(468)933-4633x17271,no,
365,Ralph,Hill,male,1950-06-16,+1-090-376-6747x498,no,
366,Raymond,Medina,male,1999-09-11,001-217-406-5794,no,
367,Bill,Lukes,male,1983-01-21,183.091.1351x57613,no,
368,Curtis,Rios,male,1969-11-18,001-911-468-9795x3389,no,
369,Scott,Barocio,male,2019-04-17,(660)096-3738x38313,no,
370,Thomas,Platt,male,1949-06-03,027-453-7330x08906,no,
371,Delmar,Giuffrida,male,2018-05-24,(110)341-7687x90063,no,
372,James,Padel,male,2016-07-03,+1-895-812-8739,no,
373,William,Vera,male,2005-10-30,583.982.1030,no,
374,Marvin,Hoffman,male,1951-11-30,324-007-9980,no,
375,Robert,Claeys,male,1965-12-10,(198)241-8020x9363,no,
376,Luis,Thomas,male,1955-02-27,980.739.1958x103,no,
377,Anthony,Cerda,male,1947-08-23,+1-362-191-0702x2995,no,
378,Melvin,Wilson,male,2017-06-22,+1-621-138-8317x993,no,
379,Paul,Adams,male,1961-09-23,591.306.2600x98840,no,
380,Gregory,Bonebrake,male,1996-03-02,7738036424,no,
381,Michael,Graham,male,1972-01-10,+1-305-421-1389,yes,2020-08-21
382,Steve,Burke,male,1993-01-07,026-076-0228x817,no,
383,John,Koerner,male,1941-11-22,(359)783-2355x518,no,
384,Jim,Norman,male,1986-07-21,001-556-954-5553x2090,no,
385,Donnie,Champagne,male,1997-06-06,(114)878-9513x29902,no,
386,Edward,Johnson,male,1982-11-29,434-953-5355,no,
387,Brandon,Good,male,1980-07-30,575-895-4131x77572,no,
388,David,Thompson,male,2017-10-24,(996)413-9031x71094,no,
389,Gary,Hairston,male,2013-04-25,+1-445-660-8557x527,no,
390,Jeffrey,Akkerman,male,1945-12-26,001-650-588-5356x6000,no,
391,Alfredo,Mcpherson,male,1991-03-16,497-147-2715x91464,no,
392,Shannon,Cordero,male,2005-12-24,944-179-9717x7614,no,
393,Melvin,Kirschman,male,1989-03-23,135.373.6702,yes,2020-08-05
394,Marvin,Watkin,male,1942-12-09,(659)865-1289,yes,2020-08-28
395,Wes,Rose,male,1967-09-27,(371)186-4868,no,
396,Terry,Winstead,male,1985-07-05,322-613-3903,yes,2020-08-22
397,Robert,Wilson,male,2003-08-10,785-328-7300x5792,no,
398,Daniel,Moore,male,1979-10-07,+1-334-929-5410,no,
399,Charles,Gutierrez,male,1963-12-23,001-104-419-0922,no,
400,Robert,Gilley,male,1987-01-22,(400)446-6181x6664,no,
401,Harold,Donald,male,1999-12-02,5932321807,no,
402,David,Landis,male,1941-02-14,001-691-711-9370x110,no,
403,Edwin,Hauff,male,2015-10-26,858-003-7837x0987,no,
404,Ricardo,Portz,male,2013-07-21,(853)105-3060x9263,no,
405,Alvin,Todd,male,1992-11-30,001-623-017-7215x20016,no,
406,Jeffrey,Short,male,1994-06-24,(130)609-1654x424,no,
407,Jeff,Maccormack,male,1953-04-28,555-423-9085x0083,no,
408,Brandon,Gerald,male,2008-12-15,(912)528-0294,no,
409,Tommy,Green,male,1964-12-29,(909)550-3460,yes,2020-08-10
410,Lee,Ostrye,male,1960-06-11,001-622-167-1657,no,
411,Earl,Scott,male,1994-02-27,889-539-2120,no,
412,Nicholas,Smith,male,1995-12-07,110.756.6367x1756,no,
413,Carlos,Deboer,male,2011-07-13,+1-394-477-5413,no,
414,Terry,Turner,male,1947-12-23,254-620-8883,no,
415,Shawn,Evans,male,1955-07-25,3848282673,no,
416,John,Veale,male,1999-12-10,(409)245-7058,no,
417,Ronald,Sherman,male,2000-08-15,974-233-6093,no,
418,Alan,Krieger,male,1948-02-24,346-177-8151x05486,no,
419,Nicholas,Wainwright,male,2013-01-28,854-524-7667x9017,no,
420,Ralph,Krampitz,male,1960-05-01,682-672-7551,no,
421,Roberto,Taylor,male,1996-02-11,675.845.3368,no,
422,William,Dixon,male,1941-08-06,(616)915-7115x97591,no,
423,Matthew,Munoz,male,2015-09-02,001-218-694-4224x4276,no,
